notification_id,user_id,type,message,created_at,is_read
146,185,Alert,Potential Fraud: Please check recent large transactions immediately.,2020-10-30,false
147,22,Info,Feature update: You can now track transfers between your accounts.,2024-10-23,true
148,181,Alert,Budget Limit Exceeded for Groceries category this month.,2023-12-12,true
149,194,Alert,Budget Limit Exceeded for Groceries category this month.,2018-06-18,false
150,89,Info,A new income deposit has been successfully processed.,2024-05-22,false
151,160,Alert,ALERT: Account Balance Critically Low. Immediate fund transfer is required.,2022-01-27,true
152,84,Alert,Budget Limit Exceeded for Groceries category this month.,2016-07-16,true
153,178,Warning,Your spending in the Food category is dangerously close to the limit.,2015-05-29,false
154,61,Warning,High activity detected in your Travel spending this period.,2018-08-11,true
155,197,Info,A new income deposit has been successfully processed.,2019-07-29,true
156,115,Info,Your transfer to a family member was completed successfully.,2019-02-18,true
157,188,Alert,Crucial bill payment failure: The subscription service payment was not processed.,2021-04-28,false
158,23,Warning,Your spending in the Food category is dangerously close to the limit.,2024-04-03,false
159,46,Warning,Your payment card is set to expire next month. Please update details.,2019-02-14,false
160,64,Alert,Unauthorized transaction detected on your main checking account.,2024-02-18,false
161,92,Alert,Crucial bill payment failure: The subscription service payment was not processed.,2023-01-20,false
162,144,Alert,ALERT: Account Balance Critically Low. Immediate fund transfer is required.,2023-09-18,false
163,41,Warning,Reminder: Your Utilities payment is due this week.,2016-04-08,false
164,52,Alert,Unauthorized transaction detected on your main checking account.,2023-07-21,true
165,98,Info,Your transfer to a family member was completed successfully.,2020-12-17,true
166,136,Info,Feature update: You can now track transfers between your accounts.,2018-07-23,true
167,16,Alert,Budget Limit Exceeded for Groceries category this month.,2024-07-31,true
168,90,Alert,Unauthorized transaction detected on your main checking account.,2019-02-05,true
169,136,Info,Feature update: You can now track transfers between your accounts.,2025-08-03,true
170,85,Warning,Your spending in the Food category is dangerously close to the limit.,2021-01-12,false
171,64,Alert,Unauthorized transaction detected on your main checking account.,2022-05-17,false
172,188,Warning,Your payment card is set to expire next month. Please update details.,2019-04-02,true
173,119,Info,Your new financial statement is now available for download.,2018-06-18,true
174,188,Info,Welcome to the new month! All budget limits have been successfully reset.,2017-04-10,true
175,15,Alert,Crucial bill payment failure: The subscription service payment was not processed.,2020-08-29,false
176,173,Info,Feature update: You can now track transfers between your accounts.,2015-08-21,true
177,146,Warning,High activity detected in your Travel spending this period.,2019-07-04,false
178,99,Warning,Warning: Your trial subscription ends tomorrow.,2018-05-07,true
179,28,Info,Welcome to the new month! All budget limits have been successfully reset.,2024-08-21,false
180,42,Info,Feature update: You can now track transfers between your accounts.,2024-06-29,false
181,12,Warning,Your payment card is set to expire next month. Please update details.,2017-12-30,false
182,105,Alert,Budget Limit Exceeded for Groceries category this month.,2023-05-21,false
183,90,Info,Feature update: You can now track transfers between your accounts.,2023-09-10,true
184,109,Alert,Crucial bill payment failure: The subscription service payment was not processed.,2023-05-19,false
185,88,Info,Your new financial statement is now available for download.,2020-10-03,false
186,197,Warning,Warning: Your trial subscription ends tomorrow.,2023-05-23,false
187,192,Alert,Budget Limit Exceeded for Groceries category this month.,2025-01-28,false
188,175,Info,Feature update: You can now track transfers between your accounts.,2024-05-13,false
189,129,Info,Your transfer to a family member was completed successfully.,2016-02-05,false
190,123,Warning,Warning: Your trial subscription ends tomorrow.,2015-12-20,true
191,67,Info,Welcome to the new month! All budget limits have been successfully reset.,2021-05-26,true
192,117,Info,A new income deposit has been successfully processed.,2016-05-04,false
193,99,Warning,Reminder: Your Utilities payment is due this week.,2024-06-24,false
194,149,Alert,Crucial bill payment failure: The subscription service payment was not processed.,2020-03-26,false
195,11,Info,Your transfer to a family member was completed successfully.,2017-01-24,true
196,32,Warning,Reminder: Your Utilities payment is due this week.,2022-10-13,false
197,36,Warning,Your payment card is set to expire next month. Please update details.,2024-03-13,true
198,98,Alert,ALERT: Account Balance Critically Low. Immediate fund transfer is required.,2018-11-24,false
199,145,Info,Your transfer to a family member was completed successfully.,2020-02-05,false
200,184,Warning,Your payment card is set to expire next month. Please update details.,2020-03-19,false
